iter	Passed	Remaining
937	27786	1836
938	27813	1806
939	27842	1777
940	27872	1747
941	27899	1717
942	27928	1688
943	27954	1658
944	27982	1628
945	28012	1598
946	28049	1569
947	28084	1540
948	28117	1511
949	28154	1481
950	28197	1452
951	28230	1423
952	28259	1393
953	28290	1364
954	28322	1334
955	28351	1304
956	28385	1275
957	28415	1245
958	28447	1216
959	28474	1186
960	28501	1156
961	28529	1126
962	28565	1097
963	28599	1068
964	28632	1038
965	28660	1008
966	28689	979
967	28718	949
968	28747	919
969	28777	890
970	28807	860
971	28839	830
972	28868	801
973	28896	771
974	28918	741
975	28945	711
976	28973	682
977	29001	652
978	29031	622
979	29070	593
980	29102	563
981	29131	533
982	29165	504
983	29203	474
984	29243	445
985	29275	415
986	29307	386
987	29357	356
988	29392	326
989	29424	297
990	29456	267
991	29489	237
992	29520	208
993	29550	178
994	29584	148
995	29623	118
996	29657	89
997	29691	59
998	29725	29
999	29756	0
